Minor planet designation,Rotation period(hours),Δmag,Quality(U),Orbit or family,Spectral type,Diameter(km),Abs. mag(H),Refs,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,movie_name,category,run_time,genre,imdb_rating,votes,gross_total,rating,timestamp,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,Buying_Price,Maintenance_Price,No_of_Doors,Person_Capacity,Size_of_Luggage,Safety,Car_Acceptability,updateTime,per capita income,median household income,median family income,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,Season1Date,Season1Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Honey,Jams,Maple,Meat,PetFood,Tofu,WildHarvested,updateTime,Order Date,Product,Product_ean,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin,Cat_Sort,Category,varShort,varLong,Map,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,brand,model,offers/priceCurrency,features/0/description,country,ISO3,continent,Region 1,markup_GME,alpha,Q,II,VA,LAB,K,Subsidies,Taxes,Place, Latitude, Longitude, Country, Continent, Magnitude,title,published_at,view_count,like_count,comment_count,text,label,url,name,Price,listedOn,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
(369984) 1998 QR52,234,0.88,3,NEO,S,0.46,19.07,LCDB  ·  List,BA,Boeing Company,Industrials,329.66,27.29,1.9648397,13.47,361.45,163.69,2.06E+11,12476000000,2.1560605,182.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,Life Is Beautiful,PG-13,116 min,"Comedy, Drama, Romance",8.6,"697,226",$57.60M,4,835355731,25921089,3556,0,3385.396629,170.6033708,3556,0,0.658164365,0.050393909,vhigh,vhigh,5more,2,small,low,unacc,05/01/2015 10:40,"$56,791 ","$90,839 ","$117,357 ",Ada Farmer's Market,,,,,,12th Street and Townsend,Ada,Pontotoc,Oklahoma,04/01/2010 to 11/31/2010,Wed: 7:00 AM-;Sat: 7:00 AM-;,-96.679871,34.77359,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,04/02/2014 10:18,11/01/2019 11:18,AAA Batteries (4-pack),3.74E+12,"895 Johnson St, Boston, MA 02215",1,2.99,1.495,2.99,1.495,5,Income,Deep_Pov_All lower,"Deep poverty, 2015-19 lower",Y,2.469,21.911,223234,21.001,0.91,0.714,29.8,26.17,3.32,1.584454727,MSI,STEALTH1613056,USD,Windows 11 has all the ,Indonesia,IDN,Asia,South-eastern Asia,2.3269584,0.88353676,40717447.23,7131460.235,33585987,7926650,6868189,-518238,950758,San Salvador,13.6961,-89.2145, El Salvador, North America,5.3,Take A Look At My Girlfriend ðŸ™ˆâ¤ #sx21edits #dance Tiktok Girlfriend trend 2024,2024-02-02T13:31:49Z,6558602,180163,346,i didn t feel threatened at all in fact the place seemed almost welcoming comforting even,4,https://www.etsy.com/listing/1272936706/personalized-baby-backpacks-monogrammed?click_key=b5c59a4227fd7f1ba0be3c8369bcde050e4bead1%3A1272936706&click_sum=b84ad33f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-13-4&sts=1,Personalized Baby Backpacks | Monogrammed Toddler Backpacks | Solid Kids Backpacks | Preschool Book Bags | Personalized Diaper Backpacks,$24.99+,"Feb 5, 2024",HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹40,490"
3033 Holbaek,233.3,1.2,3−,Flora,S,7.82,12.7,LCDB  ·  List,BWA,BorgWarner,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,The Pianist,R,150 min,"Biography, Drama, Music",8.5,"834,842",$32.57M,4,835355860,25921089,3487,0,3333.796629,153.2033708,3487,0,0.591037556,0.045954624,high,high,2,more,small,high,unacc,04/07/2014 16:32,"$54,608 ","$85,706 ","$107,511 ",Ada Farmers' Market,http://www.adafarmersmarket.com,https://www.facebook.com/adafarmersmarket,https://twitter.com/AdaFarmersMkt,,,7239 Thornapple River Dr.,Ada,Kent,Michigan,06/09/2015 to 10/27/2015,Tue: 11:00 AM-4:00 PM;,-85.488968,42.955372,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,3/19/2015 11:44,12/01/2019 12:00,27in FHD Monitor,2.44E+12,"926 Cedar St, Portland, OR 97035",1,149.99,97.4935,149.99,52.4965,5,Income,Poverty_Rate_ACS higher,"Poverty rate, 2015-19 higher",y,-0.748,-9.664,24686,-8.797,-0.867,0.161,-5.44,-4.8,2.29,1.828364639,Microsoft,QEZ-00018,USD,Find the relevant information and ide,Iran,IRN,Asia,Southern Asia,2.045903,1.0273149,20437958.67,8408309.606,12029649.06,476291.2,8289521.3,-13919.139,131921.9,Ouagadougou,12.3738,-1.5151, Burkina Faso, Africa,5.3,Transverse gear tapping process- Good tools and machinery make work easy,2024-02-05T09:16:34Z,6556160,28585,30,i feel that the technology and the act of communication are their own challenge and i have been hesitant to figure out how to make it work,4,https://www.etsy.com/listing/1326519752/toddler-bookshelf-large-bookcase-for?click_key=e7974d587d4c74dc0943951c491ce16daccbcdc7%3A1326519752&click_sum=4671bd66&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-13-2&pro=1&frs=1,"Toddler Bookshelf, Large Bookcase for Nursery, Shelf Book Stand, Montessori Furniture, Bookshelf for Kids, Child Room Decor, ChildUniverse",$89.00+,"Feb 8, 2024",HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"â‚¹53,990"
(198582) 2004 YT13,233.1,0.95,2,MBA (outer),C,3.65,15.92,LCDB  ·  List,BXP,Boston Properties,Real Estate,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487,1546846000,6.839459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP,Magnolia,R,188 min,Drama,8,"315,037",$22.46M,4,835355719,25921089,3451,0,3362.596629,88.40337079,3451,0,0.341048059,0.02629021,high,high,2,more,big,med,acc,04/03/2014 15:43,"$51,814 ","$72,745 ","$93,981 ",AdairCo Farmers Market,,,,,,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,,-85.296997,37.104301,N,N,N,N,N,-,,,,,,,,,,,,,2011,20/01/2019 7:02,AAA Batteries (4-pack),3.79E+12,"423 Elm St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99,5,Income,Poverty_Rate_ACS lower,"Poverty rate, 2015-19 lower",y,0.121,-2.081,22394,-2.099,0.017,0.525,10.03,6.43,2.1,0.341485462,HP,7Z183UT#ABA,USD,Microsoft Windo,Iraq,IRQ,Asia,Western Asia,3.885839,0.86166054,248415.0665,52891.99991,195523.0666,2054.289,23519.97,-1796.4344,4223.472,Faraday Station,-65.2567,-63.5004, Antarctica, Antarctica,4.9,Daftar makanan kesukaaan para presiden indonesia #info #faktaunik #shorts,2024-02-06T07:53:26Z,6559535,232753,11924,i feel so devastated over someone i was skeptical about all along,0,https://www.etsy.com/listing/1496382697/custom-text-and-custom-photo-shirt?click_key=ea8e31ecf46e69b6b9686f28031919ac65cb3ac9%3A1496382697&click_sum=99b91501&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-13-1&pro=1&sts=1,Custom Text and Custom Photo Shirt Custom Family Personalized Shirt Matching Family Your Photo Custom Couples Family Kids Toddler Baby Tee,$16.80+,"Jun 6, 2023",HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"â‚¹66,999"
5048 Moriarty,232.9,0.69,2,MBA (middle),S,8.12,13.57,LCDB  ·  List,BSX,Boston Scientific,Health Care,25.2,20,0,0.07,29.93,23.29,36142506007,1726000000,4.055685,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX,The Dark Knight Rises,PG-13,164 min,"Action, Drama",8.4,"1,708,002",$448.14M,4,835355817,25921089,3463,0,3415.996629,47.00337079,3463,0,0.181332547,0.013759783,med,vhigh,5more,2,big,low,unacc,04/05/2014 13:49,"$51,044 ","$106,686 ","$124,979 ",Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,Adairsville Farmers Market,,,,7446 Ga 140,Adairsville,Bartow,Georgia,06/07/2014 to 09/27/2014,Sun: 8:00 AM-11:30 PM;,-84.929565,34.375729,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,08/07/2014 10:08,07/01/2019 13:32,AAA Batteries (4-pack),3.67E+12,"679 8th St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,5,Income,PCTPOV017 higher,"Poverty rate for children age 0-17, 2019 higher",n,0.095,0.784,57826,-0.005,0.79,0.207,12.34,12.27,3.14,2.07701489,Lenovo,82XT001NUS,USD,Windows 11 brings back the Start Menu f,Ireland,IRL,Europe,Northern Europe,1.8092972,0.96949929,4690163.186,2218725.184,2471438.002,326429.1009,11105.27,-8887.27,0.301522,Christchurch,-43.5339,172.6465, New Zealand, Oceania,5.5,FIRE VS ICE! Will King Jax Save The Queen Frozen from the hands of death? | Funny Animation #shorts,2024-01-21T07:38:57Z,6217631,561383,367,i have to put on a mask when i come into work i have to suppress all of the emptiness i feel inside the pain and loneliness the bitter and jaded woman that i really am,3,https://www.etsy.com/listing/1310708805/personalized-hand-embroidered-baby-and?click_key=eb22cf108e4f49eb5c1f28f6e690ba12d9b828dc%3A1310708805&click_sum=74351a77&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-14-4&bes=1,Personalized Hand Embroidered Baby and Toddler Sweaters,$30.00+,"Feb 9, 2024",Acer,A315-510P,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,"â‚¹29,980"
8449 Maslovets,230.7,0.65,2,MBA (outer),C,14.64,12.9,LCDB  ·  List,BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0,-24.62,75,52.751,7066613254,0,1.4188358,0.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF,Star Wars: Episode VII - The Force Awakens,PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,"933,771",$936.66M,4,835355731,25921089,3539,1,3492.996629,46.00337079,3538,0.003857863,0.177474684,0.013170173,med,vhigh,5more,4,big,low,unacc,7/20/2016 11:16,"$50,532 ","$110,292 ","$128,596 ",Adams County Farmer's Market,,facebook.com/acohfarmersmarket,,,instagram.com/acohfarmersmarket,110 W. Main St.,West Union,Adams,Ohio,05/16/2020 to 09/26/2020,Sat: 9:00 AM-1:00 PM;,-83.546455,38.795338,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,4/23/2020 10:57,28/01/2019 12:45,34in Ultrawide Monitor,8.13E+12,"223 North St, Atlanta, GA 30301",1,379.99,125.3967,379.99,254.5933,5,Income,PCTPOV017 lower,"Poverty rate for children age 0-17, 2019 lower",n,-0.718,-7.126,10101,-7.769,0.644,0.699,-6.83,-9.13,3.2,3.661169156,MSI,CYBORG1512043,USD,Windows 11 ha,Italy,ITA,Europe,Southern Europe,1.6399355,1.0172517,43877369.75,15793484.52,28083885.24,12360454,0.338784,-160718.6,1062425.5,Tirana,41.3253,19.8176, Albania, Europe,4.6,THESE ARE SO GOOD.,2024-01-29T21:21:52Z,6158754,327075,5033,i have been able to lose three kilo s and i am feeling more energetic even with an month old so things seem to be on track,1,https://www.etsy.com/listing/1351647385/personalized-ballet-christmas-ornament?click_key=e1a329af41cd4d548610503c2de4d6536cb2a84f%3A1351647385&click_sum=01bf2089&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-14-1&organic_search_click=1&frs=1&sts=1,"Personalized Ballet Christmas Ornament 2023, Ballerina Slippers - Ballet Dancer Pointe Shoes Ornament, Xmas Gift for Little Girls & Kids",$19.99,"Jan 7, 2024",Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"â‚¹25,990"
(48707) 1996 KR1,230,0.75,3−,Hungaria,E,2.02,15.4,LCDB  ·  List,BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.5546863,2.65,66.1,51.12,1.03E+11,5170000000,6.503231,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,The Hobbit: The Desolation of Smaug,PG-13,161 min,"Adventure, Fantasy",7.8,"667,864",$258.37M,4,835356199,25921089,3585,3,3474.796629,110.2033708,3582,0.011573588,0.425149463,0.031715056,med,vhigh,5more,4,big,med,acc,07/05/2018 17:00,"$50,349 ","$106,143 ","$125,828 ",Adams County Farmers Market,,www.facebook.com/AdamsCountyFarmersMarket,@ACFarmFresh,,,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,05/18/2019 to 10/26/2019,Sat: 8:00 AM-1:00 PM;,-77.234146,39.830597,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,08/08/2019 14:37,08/01/2019 23:20,Apple Airpods Headphones,7.81E+12,"741 11th St, San Francisco, CA 94016",1,150,97.5,150,52.5,5,Income,Num_inPOV_0_17_ACS higher,"Number of people age 0-17 in poverty, 2015-19 higher",n,-0.932,-7.09,19448,-5.738,-1.352,0.697,-2.11,-6.67,-0.25,0.206330598,Samsung,NP950QED-KB1US,USD,Galaxy Book2 Pro 360 is po,Jamaica,JAM,North America,Caribbean,1.4414557,0.96127862,406673.3218,278664.4768,128008.845,22163.65,4631.747,-47.01205,4049.399,Abidjan,5.3613,-4.0122, CÃ´te d'Ivoire, Africa,5.8,CRISTIANO RONALDO EVOLUTION #cristianoronaldo #siuuuuu #shorts,2024-02-08T20:00:24Z,7094500,66861,49,i feel free to express myself without inhibition,1,https://www.etsy.com/listing/1441461608/playful-font-bundle-kids-font-baby-font?click_key=40a58deaa837698fdbbe71d7b139b7fed99a10f8%3A1441461608&click_sum=770e43be&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-14-2&organic_search_click=1&pro=1&dd=1,"Playful Font Bundle, Kids font, Baby font, Fun font, Cute font, Craft font, Handwritten font, Cricut font, Farmhouse font, Kids font svg",$2.00,"Feb 8, 2024",ASUS,X1502ZA-EJ515WS,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹47,990"
(95355) 2002 CQ141,229.9,0.27,2,MBA (outer),C,5.33,15.1,LCDB  ·  List,AVGO,Broadcom,Information Technology,229.57,15.94,2.9488583,4.01,285.68,202.61,92791974933,7016000000,6.961893,4.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,Mad Max: Fury Road,R,120 min,"Action, Adventure, Sci-Fi",8.1,"1,006,158",$154.06M,3,835355767,25921089,3612,4,3559.796629,52.20337079,3608,0.01543145,0.201393432,0.014664706,med,vhigh,5more,4,big,high,acc,08/07/2017 16:11,"$50,042 ","$71,607 ","$76,250 ",Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,www.facebook.com/AdamsCountyFarmersMarket,https://twitter.com/ACFarmFresh,,www.instagram.com/adamscountyfarmersmarket,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,05/18/2019 to 10/26/2019,Thu: 11:30 AM-3:30 PM;Sat: 8:00 AM-1:00 PM;,-77.234146,39.830597,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,01/08/2019 17:15,09/01/2019 15:03,Lightning Charging Cable,8.87E+12,"38 Johnson St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475,5,Income,Num_inPOV_0_17_ACS lower,"Number of people age 0-17 in poverty, 2015-19 lower",n,-0.635,-4.056,113605,-3.268,-0.788,0.471,5.63,1.48,1.62,0.714793709,Lenovo,21KK0004US,USD,Experience enhanced productivity and ad,Japan,JPN,Asia,Eastern Asia,1.576467,0.88042641,152573852.6,73998308.07,78575544.5,11410550,7328600,-338152.5,3022517,Niamey,13.5124,2.1125, Niger, Africa,4.8,à¤ªà¥à¤¯à¤¾à¤°à¥‡  â™¥ à¤ªà¤¾à¤ªà¤¾ à¤¨à¥‡ à¤­à¥‡à¤œà¥€ ðŸ”¥ à¤¬à¥‡à¤Ÿà¥‹à¤‚ à¤•à¥‡ à¤²à¤¿à¤ Super bike ðŸš– || #shorts #viral #funny,2024-02-10T13:22:11Z,6096212,,182,realizing that school will soon be over,0,https://www.etsy.com/listing/1130153470/sensory-water-and-sand-activity-table?click_key=fb4ebf4a4d6aefa338cb448391941f22710bc114%3A1130153470&click_sum=3b995030&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-14-2&pro=1&frs=1&bes=1&sts=1,"Sensory Water and Sand Activity Table, Gift For Kids and Toddler, Flisat Bins, Wooden Chairs Smart, Picture Paper, Montessori Playroom Toys",$129.99+,"Feb 10, 2024",HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹66,990"
(131381) 2001 KU39,227.4,0.77,2,MBA (outer),C,6.98,14.51,LCDB  ·  List,BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,1.1216964,1.7,69.9028,45.415,5498033502,1139000000,1.8411398,12.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B,12 Years a Slave,R,134 min,"Biography, Drama, History",8.1,"703,824",$56.67M,3,835356109,25921089,3664,8,3581.796629,82.20337079,3656,0.030862901,0.31712931,0.022950318,med,vhigh,5more,more,big,high,acc,12/16/2016 12:06,"$49,038 ","$98,221 ","$117,408 ",Adams Farmers' & Artisans' Market,,https://www.facebook.com/Adams.Farmers.Market,,,,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,07/13/2014 to 09/14/2014,Sun: 11:00 AM-2:00 PM;,-73.118004,42.624493,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,07/08/2014 11:11,13/01/2019 23:51,Macbook Pro Laptop,2.89E+12,"700 Jefferson St, New York City, NY 10001",1,1700,561,1700,1139,4,CntyClass,UrbanInfluenceCode2013 - urban,"Urban influence code, 2013 - urban",y,-1.03,-2.544,33254,-0.999,-1.544,0.475,-6.47,-4.84,-1.17,0.664460912,ASUS,L210MA-DS04,USD,Windows 11,Jordan,JOR,Asia,Western Asia,0.99594742,0.86166054,599956.1531,546667.9637,53288.1894,14078.85,800.8114,-155957.9,113383.35,Sarajevo,43.8595,18.4094, Bosnia and Herzegovina, Europe,4.8,HANTU MIO MELAHIRKAN ðŸ˜­ #sakuraschoolsimulator #yutamio #sakura,2024-02-06T05:38:34Z,6100768,104088,109,i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,3,https://www.etsy.com/listing/1378526653/trucker-baby-bodysuit-trucker-pregnancy?click_key=7212d384340911e8cc4b350cf706e5c2d71ec103%3A1378526653&click_sum=d050e0a2&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-14-1&sca=1&sts=1,"Trucker baby bodysuit, trucker pregnancy announcement, proof daddy isn't trucking all the time, trucker announcement, trucker kids tee",$17.99+,"Feb 3, 2024",HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹49,990"
(114439) 2003 AL13,227,0.85,2,MBA (inner),S,1.82,16.06,LCDB  ·  List,CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,1.987685,3.57,100.18,63.41,12932483889,868096000,0.85282737,9.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW,Indiana Jones and the Last Crusade,PG-13,127 min,"Action, Adventure",8.2,"758,057",$197.17M,5,835355767,25921089,3464,15,3536.996629,-72.99662921,3449,0.057867939,-0.281610966,-0.020638026,med,high,2,2,small,low,unacc,4/28/2011 14:33,"$48,814 ","$98,633 ","$117,683 ",Adams Morgan Farmer Market,http://www.lickingcreekbendfarm.com,https://www.facebook.com,,,https://www.instagram.com/lickingcreekbendfarm/,"18th Street and Columbia Rd, NW","Washington, DC",District of Columbia,District of Columbia,,Sat: 8:00 AM-1:00 PM;,-77.042671,38.92268,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,6/21/2017 9:33,10/01/2019 1:32,USB-C Charging Cable,2.00E+12,"842 8th St, Seattle, WA 98101",1,11.95,5.975,11.95,5.975,4,CntyClass,UrbanInfluenceCode2013 - rural,"Urban influence code, 2013 - rural",y,0.7,0.897,26196,4.634,-3.736,0,8.34,3.53,-1.03,0.731067233,LG,17Z90R-K.AAB8U1,USD,Windows 11 brings yo,Kazakhstan,KAZ,Asia,Central Asia,1.9604843,1.0177494,7875294.466,3118718.479,4756575.987,1014326,2604091,-0.2128112,195679.4,Yellowstone National Park,44.4293,-110.5919, United States, North America,5.6,Dark lipstick/ white chocolate lipstick BattleðŸ«ðŸ’„ #chocolatehacks #lipstickhacks #shorts #ytshorts,2024-02-05T22:50:59Z,6518269,141833,120,i think that was what got me started feeling homesick,0,https://www.etsy.com/listing/1623201849/modern-wooden-mini-kids-round-playing?click_key=4f8ee5d04826c3ca2aa13e6881dc41bd84550daa%3A1623201849&click_sum=608f2e60&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-14-3&pro=1&frs=1,Modern wooden mini kids round playing desk and bunny ear baby chair for toddler-Montessori Handmade Kids activity table and toddler chair,$61.12+,"Dec 21, 2023",ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹77,990"
3691 Bede,226.8,0.5,2,NEO,X,1.83,15.22,LCDB  ·  List,CA,"CA, Inc.",Information Technology,32.66,14.32,3,1.85,36.56,30.45,14175422936,1613000000,3.3742425,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA,"O Brother, Where Art Thou?",PG-13,107 min,"Adventure, Comedy, Crime",7.7,"315,173",$45.51M,3,835355860,25921089,3426,27,3559.396629,-133.3966292,3399,0.10416229,-0.514625868,-0.037477315,med,high,2,4,big,low,unacc,12/29/2016 12:13,"$48,721 ","$82,283 ","$104,250 ",Adams-Ricci Farmers Market,,https://www.facebook.com/FarmersAtAdamsRicciParkEast/,@adamsriccifm,n/a,https://www.instagram.com/adamsriccifarmersmarket/,100 East Penn Drive,Enola,Cumberland,Pennsylvania,05/21/2020 to 10/22/2020,Thu: 3:00 PM-7:00 PM;,-76.937408,40.273998,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,4/25/2020 10:26,01/01/2019 7:26,AAA Batteries (4-pack),8.40E+12,"235 South St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485,4,CntyClass,Hipov - urban,"High poverty counties, 2015-19 - urban",y,0.6,1.775,44428,0.568,1.207,0.545,10.23,6.05,3.02,1.377296539,ASUS,UP3404VADS74T,USD,Windows 11 is the one place for it all. With,Kenya,KEN,Africa,Eastern Africa,1.7546947,0.92887664,3437764.626,821113.4353,2616651.191,1013514.08,13173.076,-2.277995,10317.483,Northern Chile,-23.4425,-68.4493, Chile, South America,4.6,Siblings ChallengeðŸ¤£ Part-235ðŸ˜‚ #shorts #shortsvideo #shortsfeed #youtubeshorts #challenge #viral,2024-01-23T11:29:02Z,5996731,411713,815,id have good days weeks months but i kept feeling like it cant last life cant be this sweet,1,https://www.etsy.com/listing/116892642/shelves-tree-wall-decal-shelving-tree?click_key=26aaf9b590f904c16c03d0d58124994ed0b2058b%3A116892642&click_sum=8b6f84b5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-15-2&organic_search_click=1,Shelves Tree Wall Decal Shelving Tree Wall Decal Tree Wall Decal Shelf Tree Wall Decal Nursery Wall Sticker Kids Room Decor,$99.00,"Dec 27, 2023",ASUS,TN3402QA-LZ740WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),Yes,"â‚¹64,990"
9969 Braille,226.4,0.9,2,Mars crosser,Q,1.64,16.4,LCDB  ·  List,COG,Cabot Oil & Gas,Energy,23.01,60.55,1.0269576,-0.92,29.57,21.4,10808821635,404951000,8.636729,4.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG,Inglourious Basterds,R,153 min,"Adventure, Drama, War",8.3,"1,453,288",$120.54M,5,835355817,25921089,3494,18,3605.196629,-111.1966292,3476,0.069441527,-0.428981318,-0.03084343,med,high,2,4,big,med,acc,3/24/2015 15:33,"$48,486 ","$75,604 ","$90,116 ",Adaptations' Fresh Feast,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/MaureenDatta,,http://instagram.com/adaptationskona,"79-7500 Mamalahoa Highway, Unit 1",Kealakekua,Hawaii,Hawaii,01/01/2013 to 12/31/2013,Mon: 8:00 AM-4:00 PM;Tue: 8:00 AM-4:00 PM;Wed: 8:00 AM-4:00 PM;Thu: 8:00 AM-4:00 PM;Fri: 8:00 AM-1:00 PM;Sun: 12:00 PM-4:00 PM;,-155.92365,19.525784,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,7/26/2018 16:11,21/01/2019 11:18,27in FHD Monitor,9.57E+12,"875 Meadow St, New York City, NY 10001",1,149.99,97.4935,149.99,52.4965,4,CntyClass,Hipov - rural,"High poverty counties, 2015-19 - rural",y,-1.901,-9.098,12589,-6.463,-2.636,-0.123,-12.96,-12.42,-0.04,1.001574803,HP,840G3.8.256.Pro,USD,This unit comes with 8 GB of System Me,Kuwait,KWT,Asia,Western Asia,1.4668074,0.86166054,314709.0342,128963.6678,185745.3664,54059.2,6863.794,-17940.06751,0.20295,Mamoudzou,-12.7841,45.2242, Mayotte, Africa,5.1,Athul's Academy kerala 7907154473 Bangalore  96115 65606 UAE +971 565862630 #fashion #ff #style,2024-02-03T06:49:10Z,5987651,241213,606,im the customer i wont feel welcomed but intimidated,1,https://www.etsy.com/listing/1248308610/minimalist-books-for-baby-diaper-card?click_key=9954df25eabf00295161f3306e900186cff45ad1%3A1248308610&click_sum=c8b79ef6&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-15-1&organic_search_click=1&pro=1&bes=1&sts=1&dd=1,"Minimalist Books For Baby, Diaper Card, Editable Printable Baby Shower Insert Card, Baby Shower, Diaper Raffle Ticket Download, Template, 89",$3.00,"Feb 10, 2024",HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"â‚¹43,490"
